Brand,Model,Year,Kilometer Driven (km),Fuel Type,Transmission Type,Location,Price (INR)
Hyundai,Elantra,2007,53266,Petrol,Automatic,New Delhi,462010.1
Toyota,Corolla,2005,126939,Electric,Automatic,Mumbai,180959.15
Mercedes,S-Class,2011,176820,Electric,Manual,New Delhi,9293477.0
Tata,Altroz,2003,106196,Diesel,Manual,Mumbai,50000.0
Honda,Civic,2024,189674,Electric,Manual,Mumbai,700000.0
Maruti Suzuki,Dzire,2020,101590,Petrol,Automatic,Chennai,384761.5
BMW,M3,2011,164361,Diesel,Automatic,Chennai,6745345.85
BMW,X5,2003,137445,Petrol,Automatic,Chennai,6879383.25
Mercedes,E-Class,2016,101852,Diesel,Manual,Chennai,5984722.2
Toyota,Innova,2009,66848,Petrol,Manual,Kolkata,769972.8
Toyota,Corolla,2012,139638,Petrol,Manual,Kolkata,529054.3
Mercedes,E-Class,2017,179495,CNG,Automatic,Ahmedabad,6073075.75
Ford,Endeavour,2019,147870,Diesel,Manual,Pune,2707819.5
Audi,Q5,2008,57609,Petrol,Automatic,Hyderabad,5171358.65
Toyota,Corolla,2003,78149,Petrol,Automatic,Chennai,50000.0
BMW,3 Series,2010,85157,Diesel,Automatic,Mumbai,3257226.45
Mercedes,S-Class,2022,169291,Diesel,Manual,Chennai,9824606.35
Mercedes,E-Class,2015,161022,CNG,Automatic,Mumbai,6025846.7
Ford,Endeavour,2001,159146,CNG,Automatic,Pune,1726128.1
Tata,Harrier,2022,82396,Petrol,Automatic,Bangalore,1567640.6
Ford,Endeavour,2023,160332,Petrol,Manual,Ahmedabad,2875950.2
Mercedes,E-Class,2000,24111,Petrol,Manual,Ahmedabad,5226383.35
Mercedes,E-Class,2017,140968,Electric,Manual,Chennai,6098854.8
Tata,Altroz,2004,6251,Electric,Automatic,New Delhi,50000.0
Toyota,Corolla,2000,67412,Electric,Automatic,Hyderabad,50000.0
Tata,Nexon,2019,170007,Petrol,Automatic,Ahmedabad,554498.95
Nissan,Terrano,2013,11749,Diesel,Automatic,Hyderabad,718237.65
